2026-04-14 09:00:00 | user=user_112@enterprise.com | path=/home/documents/notes.txt | bytes_sent=2115776 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:01:00 | user=user_101@enterprise.com | path=/home/documents/notes.txt | bytes_sent=1651252 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:02:00 | user=user_110@enterprise.com | path=/home/documents/notes.txt | bytes_sent=3204631 | status=404 | type=NORMAL_ACCESS
2026-04-14 09:03:00 | user=user_106@enterprise.com | path=/home/documents/notes.txt | bytes_sent=5022586 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:04:00 | user=user_112@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=1444454 | status=404 | type=NORMAL_ACCESS
2026-04-14 09:05:00 | user=user_111@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=5013699 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:06:00 | user=user_102@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=547011 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:07:00 | user=user_107@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=3676262 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:08:00 | user=user_109@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=2429844 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:09:00 | user=user_105@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=5030554 | status=404 | type=NORMAL_ACCESS
2026-04-14 09:10:00 | user=user_103@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=1680329 | status=404 | type=NORMAL_ACCESS
2026-04-14 09:11:00 | user=user_114@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=4849880 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:12:00 | user=user_109@enterprise.com | path=/finance/payroll/2026_Salary_Expansion.xlsx | bytes_sent=684409756 | status=200 | type=EXFIL_ATTEMPT
2026-04-14 09:13:00 | user=user_114@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=1385618 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:14:00 | user=user_107@enterprise.com | path=/home/documents/notes.txt | bytes_sent=973020 | status=404 | type=NORMAL_ACCESS
2026-04-14 09:15:00 | user=user_104@enterprise.com | path=/home/documents/notes.txt | bytes_sent=745020 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:16:00 | user=user_112@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=4009443 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:17:00 | user=user_109@enterprise.com | path=/home/documents/notes.txt | bytes_sent=4015835 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:18:00 | user=user_113@enterprise.com | path=/home/documents/notes.txt | bytes_sent=3096579 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:19:00 | user=user_105@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=1000406 | status=404 | type=NORMAL_ACCESS
2026-04-14 09:20:00 | user=user_101@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=3847402 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:21:00 | user=user_112@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=2163247 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:22:00 | user=user_101@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=3373120 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:23:00 | user=user_105@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=3265895 | status=404 | type=NORMAL_ACCESS
2026-04-14 09:24:00 | user=user_113@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=3829636 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:25:00 | user=user_101@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=4929593 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:26:00 | user=user_112@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=2913273 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:27:00 | user=user_101@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=134214 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:28:00 | user=user_114@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=4601658 | status=404 | type=NORMAL_ACCESS
2026-04-14 09:29:00 | user=user_103@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=22476 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:30:00 | user=user_102@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=3127055 | status=404 | type=NORMAL_ACCESS
2026-04-14 09:31:00 | user=user_103@enterprise.com | path=/home/documents/notes.txt | bytes_sent=2865735 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:32:00 | user=user_102@enterprise.com | path=/home/documents/notes.txt | bytes_sent=232902 | status=404 | type=NORMAL_ACCESS
2026-04-14 09:33:00 | user=user_106@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=159567 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:34:00 | user=user_101@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=2045564 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:35:00 | user=user_108@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=1937158 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:36:00 | user=user_103@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=4527566 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:37:00 | user=user_103@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=3390720 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:38:00 | user=user_109@enterprise.com | path=/home/documents/notes.txt | bytes_sent=3483003 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:39:00 | user=user_104@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=4463072 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:40:00 | user=user_108@enterprise.com | path=/home/documents/notes.txt | bytes_sent=3436461 | status=404 | type=NORMAL_ACCESS
2026-04-14 09:41:00 | user=user_110@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=2105389 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:42:00 | user=user_107@enterprise.com | path=/home/documents/notes.txt | bytes_sent=2364242 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:43:00 | user=user_112@enterprise.com | path=/home/documents/notes.txt | bytes_sent=1426069 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:44:00 | user=user_104@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=2613765 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:45:00 | user=user_111@enterprise.com | path=/strategy/mergers/project_phoenix_details.pdf | bytes_sent=595745665 | status=200 | type=EXFIL_ATTEMPT
2026-04-14 09:46:00 | user=user_106@enterprise.com | path=/home/documents/notes.txt | bytes_sent=1189706 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:47:00 | user=user_108@enterprise.com | path=/home/documents/notes.txt | bytes_sent=2564067 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:48:00 | user=user_111@enterprise.com | path=/home/documents/notes.txt | bytes_sent=3207916 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:49:00 | user=user_110@enterprise.com | path=/home/documents/notes.txt | bytes_sent=5001253 | status=404 | type=NORMAL_ACCESS
2026-04-14 09:50:00 | user=user_105@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=827722 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:51:00 | user=user_114@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=3660199 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:52:00 | user=user_110@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=812150 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:53:00 | user=user_106@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=2230813 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:54:00 | user=user_109@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=785750 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:55:00 | user=user_101@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=3852453 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:56:00 | user=user_106@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=2082868 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:57:00 | user=user_105@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=121402 | status=200 | type=NORMAL_ACCESS
2026-04-14 09:58:00 | user=user_113@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=3105968 | status=404 | type=NORMAL_ACCESS
2026-04-14 09:59:00 | user=user_103@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=3115779 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:00:00 | user=user_105@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=758801 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:01:00 | user=user_107@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=4524098 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:02:00 | user=user_112@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=2863378 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:03:00 | user=user_114@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=361588 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:04:00 | user=user_103@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=1890693 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:05:00 | user=user_113@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=759078 | status=404 | type=NORMAL_ACCESS
2026-04-14 10:06:00 | user=user_113@enterprise.com | path=/home/documents/notes.txt | bytes_sent=598124 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:07:00 | user=user_109@enterprise.com | path=/business/financial_records/Q1_Tax_Statements.zip | bytes_sent=787492213 | status=200 | type=EXFIL_ATTEMPT
2026-04-14 10:08:00 | user=user_103@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=2526137 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:09:00 | user=user_107@enterprise.com | path=/home/documents/notes.txt | bytes_sent=4314531 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:10:00 | user=user_114@enterprise.com | path=/home/documents/notes.txt | bytes_sent=4204241 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:11:00 | user=user_108@enterprise.com | path=/wiki/it_support/vpn_setup.md | bytes_sent=3351978 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:12:00 | user=user_101@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=3616103 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:13:00 | user=user_107@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=1459904 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:14:00 | user=user_111@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=3857755 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:15:00 | user=user_113@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=549117 | status=404 | type=NORMAL_ACCESS
2026-04-14 10:16:00 | user=user_107@enterprise.com | path=/home/documents/notes.txt | bytes_sent=2394399 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:17:00 | user=user_105@enterprise.com | path=/apps/common/runtime_logs.txt | bytes_sent=3362632 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:18:00 | user=user_110@enterprise.com | path=/home/documents/notes.txt | bytes_sent=905136 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:19:00 | user=user_105@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=2446058 | status=404 | type=NORMAL_ACCESS
2026-04-14 10:20:00 | user=user_111@enterprise.com | path=/shared/marketing/v2_logo.png | bytes_sent=59698 | status=200 | type=NORMAL_ACCESS
2026-04-14 10:21:00 | user=user_114@enterprise.com | path=/home/documents/notes.txt | bytes_sent=3809340 | status=404 | type=NORMAL_ACCESS
2026-04-14 10:22:00 | user=user_114@enterprise.com | path=/finance/payroll/2026_Salary_Expansion.xlsx | bytes_sent=546897598 | status=200 | type=EXFIL_ATTEMPT
